name,resource_type,description,learning objective 1,learning objective 2,learning objective 3,is_deprecated,hide_info,text,resource_file,grade_level,intended_use,license,license_link,license_other_notes,source,language,author,comments,creation_date,problem_type,solutions_hints_etc,collection,Custom
Checkpoint 3: Ball Penetrating Ground,CheckPoint problem,Compare the force exerted by a falling ball on the ground with the force exerted by the ground on the falling ball when the ball hits the ground - just after it hits the ground,N3Lfbd,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493423.sequence___8___MIT/rayyan/osu/05_Force and Motion I/3rd/3rd.problem____0
Checkpoint 4: Ball Penetrating Ground,CheckPoint problem,Compare the force exerted by a falling ball on the ground with the force exerted by the ground on the falling ball when the ball hits the ground - after the ball penetrated the ground but didn't stop,N3Lfbd,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493423.sequence___6___MIT/rayyan/osu/05_Force and Motion I/3rd/3rd _1.problem____0
Checkpoint 5: Ball Penetrating Ground,CheckPoint problem,Compare the force exerted by a falling ball on the ground with the force exerted by the ground on the falling ball when the ball hits the ground - after the ball stopped,N3Lfbd,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493423.sequence___7___MIT/rayyan/osu/05_Force and Motion I/3rd/3rd _2.problem____0
CheckPoint 6: Two Cars,CheckPoint problem,Compare the collision forces between two cars,N3Lfbd,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493423.sequence___16___MIT/rayyan/check_points/BK/BK10.problem____0
CheckPoint 7: Satellite,CheckPoint problem,Define the Newton's 3rd law pair for satellite-Earth interaction,N3Lfbd,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493423.sequence___17___MIT/rayyan/check_points/BK/BK8.problem____0
Video Tutorial: Vector Addition,Video problem,Identify when the sum vector of two vectors is maximum and minimum,Vectors/LO from Peter,,,,,,,,,,,,,,,,,Video problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___20___MIT/analiab/Problems/Magnitude_vector_addition_concept_question.problem____0
CheckPoint 1: Newton's 2nd Law 2,CheckPoint problem,Find the direction of the acceleration of an object initially in motion acted upon by a force,NL1rec,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___14___MIT/RELATE/htmlwiki/Unit1/Module4/CP_Newtons_2nd_2.problem____0
CheckPoint 2: Newton's 2nd Law 1,CheckPoint problem,Find the direction of the acceleration of an object initially at rest acted upon by two forces at different angles,N2Lapply,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___13___MIT/RELATE/htmlwiki/Unit1/Module4/CP_Newtons_2nd_1.problem____0
CheckPoint 3 : Forces and Blocks,CheckPoint problem,Identify the box that will move with constant v given the forces that act on each box,N2Lapply,N2Lequil,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___16___MIT/rayyan/check_points/BK/BK15.problem____0
CheckPoint 4 : Forces and Blocks,CheckPoint problem,Identify the direction of motion of a box given the forces that act on each box,N2Lapply,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___15___MIT/rayyan/check_points/BK/BK14.problem____0
CheckPoint 5 : Find the mass,CheckPoint problem,Calculate the mass of a block knowing the three forces that act on it,N2Lapply,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___18___MIT/rayyan/check_points/BK/BK18.problem____11
CheckPoint 6 : What is the force?,CheckPoint problem,Calculate the third force that acts on a block knowing two forces and v=const,N2Lapply,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___19___MIT/rayyan/check_points/BK/BK23.problem____0
CheckPoint 7: Sum of Forces,CheckPoint problem,Calculate the x-component of Fnet when three forces act on an object,Vectors/LO from Peter,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___22___MIT/rayyan/check_points/BK/BK29.problem____14
CheckPoint 7: Sum of Forces,CheckPoint problem,Calculate the y-component of Fnet when three forces act on an object,Vectors/LO from Peter,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___22___MIT/rayyan/check_points/BK/BK29.problem____15
CheckPoint 7: Sum of Forces,CheckPoint problem,Calculate the magnitude of Fnet when three forces act on an object,Vectors/LO from Peter,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___22___MIT/rayyan/check_points/BK/BK29.problem____16
CheckPoint 7: Sum of Forces,CheckPoint problem,Find the direction of Fnet when three forces act on an object,Vectors/LO from Peter,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___22___MIT/rayyan/check_points/BK/BK29.problem____18
Magnitude and Direction,Level 2 problem,Calculate the magnitude of Fnet when three forces act on an object,Vectors/LO from Peter,N2Lapply,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___5___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob30a.problem____18
Magnitude and Direction,Level 2 problem,Find the direction of Fnet when three forces act on an object,Vectors/LO from Peter,,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___5___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob30a.problem____19
Magnitude and Direction,Level 2 problem,,,,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594571.sequence___10___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob30a.problem____18
Magnitude and Direction,Level 2 problem,,,,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594571.sequence___10___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob30a.problem____19
CheckPoint: Equilibrium,CheckPoint problem,Identify the objects that can be put into equilibrium,N2Lequil,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1327015879.sequence___4___MIT/RELATE/htmlwiki/Unit1/Module5/CP_Equilibrium.problem____0
Video Tutorial: Block hanged by two strings,Video problem,Block hanged by two strings - identify the tension in one string,N2Lequil,Vectors/LO from Peter,,,,,,,,,,,,,,,,Video problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1327015879.sequence___6___MIT/analiab/Problems/block_on_two_strings_problem.problem____11
Video Tutorial: Block hanged by two strings,Video problem,Block hanged by two strings - identify the tension in one string,N2Lequil,Vectors/LO from Peter,,,,,,,,,,,,,,,,Video problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1327015879.sequence___6___MIT/analiab/Problems/block_on_two_strings_problem.problem____13
Vector Vs. Scalar,Level 1 problem,Identify if various physical quantities are vectors or scalars,Vectors/LO from Peter,,,,,,,,,,,,,,,,,Level 1 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594557.sequence___12___msu/physicslib/msuphysicslib/06_Vectors_Scalars/msu-prob07.problem____0
Two forces,Level 1 problem,Calculate F2 knowing F1 and the components of the acceleration - 3D problem,N2Lapply,Vectors/LO from Peter,,,,,,,,,,,,,,,,Level 1 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594557.sequence___5___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob95a.problem____0
Airtrack,Level 1 problem,Evaluate statements about velocity and acceleration when various forces are applied to an object,N1Lrec,N3Lfbd,,,,,,,,,,,,,,,,Level 1 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594557.sequence___8___msu/kortemey/physicslib/force/airtrack.problem____11
Airtrack,Level 1 problem,Evaluate statements about velocity and acceleration when various forces are applied to an object,K1v&a,,,,,,,,,,,,,,,,,Level 1 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594557.sequence___8___msu/kortemey/physicslib/force/airtrack.problem____14
The net force,Level 1 problem,"Evaluate statements about velocity, acceleration, applied force and net force",N2Lapply,,,,,,,,,,,,,,,,,Level 1 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594557.sequence___9___MIT/rayyan/check_points/BK/BK7.problem____0
block hanging from wall,Level 1 problem,Evaluate statements about N3L pair,N3Lfbd,,,,,,,,,,,,,,,,,Level 1 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594557.sequence___10___MIT/rayyan/check_points/BK/BK9.problem____0
Fridge magnet,Level 1 problem,Evaluate statements about the friction force and the weight,N3Lfbd,,,,,,,,,,,,,,,,,Level 1 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594557.sequence___11___msu/kortemey/physicslib/force/newton3.problem____0
Force laws,Level 1 problem,"Evaluate  statements about the net force, the speed and the velocity",N2Lapply,N3Lfbd,,,,,,,,,,,,,,,,Level 1 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594557.sequence___3___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob47.problem____0
Find the force,Level 2 problem,"Calculate F3 knowing F1, F2 and the net acceleration",N2Lapply,,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594571.sequence___5___MIT/rayyan/check_points/BK/BK17.problem____0
Airplane gaining height,Level 2 problem,Identify the direction of the net force for an airplane moving with constant velocity,N2Lfbdconsistent,,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594571.sequence___7___msu/kortemey/physicslib/force/planeforces.problem____11
Airplane gaining height,Level 2 problem,Identify the direction of the net force for an airplane that accelerates,N2Lfbdconsistent,,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594571.sequence___7___msu/kortemey/physicslib/force/planeforces.problem____13
Tavern sign,Level 2 problem,Calculate the force exerted by the beam for a tavern sign,N2Lequil,Vectors/LO from Peter,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594571.sequence___8___msu/kortemey/physicslib/force/tavern.problem____12
Tavern sign,Level 2 problem,Calculate the force exerted by the beam for a tavern sign,N2Lequil,Vectors/LO from Peter,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594571.sequence___8___msu/kortemey/physicslib/force/tavern.problem____14
Magnitude and Direction,Level 2 problem,Calculate the net acceleration of an object acted upon by three forces at different angles,Vectors/LO from Peter,N2Lapply,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___5___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob30a.problem____18
Magnitude and Direction,Level 2 problem,Find the direction of the net force of three forces that act at different angles,Vectors/LO from Peter,,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493445.sequence___5___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob30a.problem____19
Magnitude and Direction,Level 2 problem,,,,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594571.sequence___10___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob30a.problem____18
Magnitude and Direction,Level 2 problem,,,,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594571.sequence___10___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob30a.problem____19
Statics,Level 2 problem,Find the force exerted on a board by a support beam when two children are standing on the board,N2Lequil,,,,,,,,,,,,,,,,,Level 2 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594571.sequence___11___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob63.problem____0
Hammock,Level 3 problem,Find the horizontal force exerted on a post by a hammock when a person is in the hammock,N2Lequil,Vectors/LO from Peter,,,,,,,,,,,,,,,,Level 3 problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322594581.sequence___3___MIT/rayyan/Hammock.problem____0
CheckPoint 1: Laptop Throwing,CheckPoint problem,Evaluate statements about the acceleration at the top of the trajectory for an object in projectile motion.,K2proj,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096523.sequence___11___msu/kortemey/newphysicslib/force/laptop.problem____0
CheckPoint 2: Force of Gravity,CheckPoint problem,Calculateæthe attraction force between the Earth and a mass of 1kg,FNLug,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096523.sequence___12___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob62a.problem____18
CheckPoint 2: Force of Gravity,CheckPoint problem,Calculateæthe attraction force between theæMoon and a mass of 1kg,FNLug,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096523.sequence___12___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob62a.problem____19
CheckPoint 2: Force of Gravity,CheckPoint problem,Calculateæthe ratio between the forcesæwith whichæthe Earth and the Moon attract a 1kg mass.æ,FNLug,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096523.sequence___12___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob62a.problem____20
CheckPoint 3: Gravitational Attraction,CheckPoint problem,Calculateæthe times it takes for M1 to travel distance d if it isæsubject to M2's attraction,FNLug,K1v&a,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096523.sequence___13___msu/physicslib/msuphysicslib/09_Force_and_Motion/msu-prob67a.problem____0
Simulation: gravitational force between objects of small masses,CheckPoint problem,Calculate the force of attraction between two masses sitting on a horizontal surface,FNLug,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096523.sequence___14___MIT/analiab/Problems/gravitational_force_between_small_masses.problem____11
Simulation: gravitational force between objects of small masses,CheckPoint problem,Calculate the acceleration of a block that is subject to the gravitational acceleration of a second block,FNLug,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096523.sequence___14___MIT/analiab/Problems/gravitational_force_between_small_masses.problem____13
Simulation: gravitational force between objects of small masses,CheckPoint problem,Calculate the force of attraction exerted by the Earth on a block sitting on a table,FNLug,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096523.sequence___14___MIT/analiab/Problems/gravitational_force_between_small_masses.problem____15
Checkpoint 1: Finding k,CheckPoint problem,Rank the spring constants that correspond to different F(x) graphs ,FNLHooke,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096542.sequence___6___MIT/rayyan/osu/08_Potential Energy and Conservation of Energy/PE_spring/PE_spring.problem____0
CheckPoint 2: Effective Spring Constant,CheckPoint problem,Calculateæthe effective spring constant for springs connected in series and in parallel,FNLHooke,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096542.sequence___7___MIT/rayyan/Physics801/Symbolic/Effective Spring Constant.problem____11
CheckPoint 2: Effective Spring Constant,CheckPoint problem,Calculate the effective spring constant for springs connected in series and in parallel,FNLHooke,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096542.sequence___7___MIT/rayyan/Physics801/Symbolic/Effective Spring Constant.problem____13
CheckPoint 3: Hooke's Law Spring Configurations,CheckPoint problem,Compare the streches of springs from the same material but displayed in different configurations,FNLHooke,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096542.sequence___5___MIT/rayyan/Physics801/Symbolic/Hooke's Law Forces.problem____0
Checkpoint 1: Two Men on a Rope,CheckPoint problem,Calculateæthe tension in the upper rope when two men are hanging on the same rope,FNLTension,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___5___MIT/rayyan/osu/05_Force and Motion I/hanging/hanging.problem____0
Checkpoint 2 : Two men on a Rope,CheckPoint problem,"Calculateæthe tension in the upper rope when two men are hanging on the same rope, but the bottom rope is cut",FNLTension,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___6___MIT/rayyan/osu/05_Force and Motion I/hanging/hanging_1.problem____0
Checkpoint 3 : Two men on a Rope,CheckPoint problem,"Calculateæthe tension in the bottom rope when two men are hanging on the same rope, but the upper rope is cut",FNLTension,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___7___MIT/rayyan/osu/05_Force and Motion I/hanging/hanging_2.problem____0
CheckPoint 4: Accelerating Block,CheckPoint problem,Block in an elevator - identify the forcesæfrom a given FBD ,FNLTension,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___16___MIT/rayyan/check_points/BK/BK19.problem____12
CheckPoint 4: Accelerating Block,CheckPoint problem,Block in an elevator - compare the magnitude of the forces shown in the FBD,FNLTension,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___16___MIT/rayyan/check_points/BK/BK19.problem____14
CheckPoint 5: Block going down,CheckPoint problem,Calculate theætension in the string for a block falling with constant speed.,FNLTension,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___17___MIT/rayyan/check_points/BK/BK21.problem____0
CheckPoint 6: Free Body Diagrams,CheckPoint problem,Identify the correct FBD for conical pendulum,FNLTension,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___18___MIT/rayyan/check_points/BK/BK4.problem____0
CheckPoint 7: Free Body Diagrams,CheckPoint problem,Identify the correct FBD foræsimple pendulum,FNLTension,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096559.sequence___19___MIT/rayyan/check_points/BK/BK5.problem____0
Normal Force.. or not?,CheckPoint problem,Evaluate statements about the correct definition of the normal force,FNLNormal,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___17___gwu/rteodore/Raluca_s_Test_Course/Phys1_Spring2007/Warmups/Warmup2b/NormalForceDefinition.problem____0
Checkpoint 1: Elevator,CheckPoint problem,Identify the correct T(t) graph for an object hanging in a moving elevator,FNLTension,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___8___MIT/rayyan/osu/05_Force and Motion I/elevator/elevator.problem____0
Checkpoint 2: Elevator,CheckPoint problem,Identify the correct W(t) graph foræa student standing on a scale in aæmoving elevator,FNLNormal,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___9___MIT/rayyan/osu/05_Force and Motion I/elevator/elevator_1.problem____0
Checkpoint 3: Elevator,CheckPoint problem,Identifyæthe minimum scale reading during an elevator trip,FNLNormal,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___10___MIT/rayyan/osu/05_Force and Motion I/elevator/elevator_2.problem____0
CheckPoint 4: Free Body Diagrams,CheckPoint problem,Identify the correct FBD for a block sliding down an incline with constant velocity,FNLNormal,FNLweight,FNLkinfric,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___18___MIT/rayyan/check_points/BK/BK20.problem____0
CheckPoint 5 : Free Body Diagrams,CheckPoint problem,Identify the correct FBD for a block pushed up along a frictionless incline,FNLNormal,FNLweight,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___19___MIT/rayyan/check_points/BK/BK3.problem____0
CheckPoint 6: Weight in Elevator,CheckPoint problem,Identify the correct reading of a scale in a moving elevator,FNLNormal,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096567.sequence___20___MIT/rayyan/check_points/BK/BK24.problem____0
Checkpoint 1: Kinetic Friction,CheckPoint problem,Identify the correct acceleration of a car when the driver brakes,FNLkinfric,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096575.sequence___5___MIT/rayyan/osu/06_Force and Motion II/friction/friction.problem____0
Checkpoint 2: Kinetic Friction,CheckPoint problem,Compare the accelerationsæof cars of different masses,FNLkinfric,N2Lapply,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096575.sequence___6___MIT/rayyan/osu/06_Force and Motion II/friction/friction_1.problem____0
Checkpoint 3: Kinetic Friction,CheckPoint problem,Compare the stopping distancesæof cars of different masses,FNLkinfric,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096575.sequence___7___MIT/rayyan/osu/06_Force and Motion II/friction/friction_2.problem____0
CheckPoint 4 :Properties of Kinetic Friction,CheckPoint problem,Evaluate statements about the kinetic friction force,FNLkinfric,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096575.sequence___8___gwu/rteodore/Raluca_s_Test_Course/Phys1_Spring2007/Warmups/Warmup2b/FrictionForceDefinition.problem____0
Video Tutorial: Which will slide first?,Video problem,Compare how fast will slide blocks of different masses and made from different materials,FNLstatfric,,,,,,,,,,,,,,,,,Video problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096583.sequence___10___MIT/analiab/Problems/static_friction_blocks_incline_question.problem____16
Video Tutorial: Which will slide first?,Video problem,Compare how fast will slide blocks of different masses and made from different materials,FNLstatfric,,,,,,,,,,,,,,,,,Video problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096583.sequence___10___MIT/analiab/Problems/static_friction_blocks_incline_question.problem____17
Video Tutorial: Which will slide first?,Video problem,Compare how fast will slide blocks of different masses and made from different materials,FNLstatfric,,,,,,,,,,,,,,,,,Video problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096583.sequence___10___MIT/analiab/Problems/static_friction_blocks_incline_question.problem____18
Video Tutorial: a Block on an inclined plane,Video problem,Calculate the normal force on a block at rest on an inclined plane with friction,FNLNormal,FNLstatfric,N2Lapply,,,,,,,,,,,,,,,Video problem,,Unit 2,uploaded/MIT/31322809404324fcfMITl1/default_1323096583.sequence___8___MIT/analiab/Problems/a_block_on_an_incline_plane.problem____11
