Learning Objective,Code,Notes,Corresponding formulas
Calculate the force from potential energy,EforceFromU(x),Unit 8,F=-dU/dx
Use potential energy diagrams to identify equilibrium positions,Eequilibria,Unit 8,dU/dx=0
,,,
,,,
ROTATIONAL KINEMATICS,,,
Represent  the sign/direction and magnitude of omega and alpha for different rotations,change to K2Rsign/direction2D,Unit 9,
"Interrelate angular position, velocity, and acceleration",K2RotationalKinematics,Unit 9,
Vector Representation of Angular Motion including a not parallel to \omega,K3Rvector3D,,
Velocity of points on rotating translating rigid body,K2RvelocityRigidBodyPoints,,
"Calculate the constraint equations involving rolling constraints: conveyer belt, yoyos, rolling objects",K2RrollingConstranits,Unit 10,
,,,
ROTATIONAL DYNAMICS,,,
,,,
Find the magnitude and direction of the torque when object and force lie in a plane,FARtorque2D,Unit 9,
Find the magnitude and direction of the torque about a point due to any force,FARtorque3D,Unit 9,
Apply tau=I alpha,FARrelateTau&alpha,Unit 9,
Calculate moment of inertia from mass distribution,FARMomentFromMass,Unit 9,
Apply the Parallel Axis Theorem,FARparallelAxisTheorem,Unit 9,
Rotational and Translational Equilibrium,FARstatics,Unit 9,
,,,
,,,
KINETIC ENERGY OF ROTATION,,,
Calculate the kinetic energy of rotating rigid bodies,Ek_rot,Unit 10,
"Find the kinetic energy of a rotating, translating rigid body",Ek_rot&trans,Unit 10,
,,,
,,,
ANGULAR MOMENTUM,,,
Calculate the magnitude and the direction of the angular momentum vector of a point particle in 2-D,AMparticleAxis2D,Unit 11,
Calculate the angular momentum of a rigid object rotating about a fixed axis in 2-D,AMrigidBody2D,Unit 11,
Calculate angular momentum of a rigid object rotating in 3-D,AMrigidBody3D,,
Calculate the angular momentum of a rigid object that translates and rotates,AMrotatingTranslating,Unit 11,
Relate angular impulse and overall change in angular momentum,AMandImpulse,Unit 11,
Recognize situation and identify axis about which angular momentum is constant,AMconstantAxis,Unit 11,
,,,
,,,
ORBITS,,,
"Use the Newton's law of gravity to find g at different locations relative to the surface of the planet and to predict the change in force caused by the change in distance, etc.",FNLug,Unit 12,
"Apply Kepler's 3 laws, know definitions",OkeplerLaws,Unit 12,
Calculate angular momenta of orbiting bodies and apply angular momentum constant,Oenergy,Unit 12,
,,,
,,,
HARMONIC MOTION,,,
Identify the physical significance of the terms in the general expression for x(t),HMgeneralSolution,Unit 13,
Obtain and Identify Differential eqn leading to SHM,HMdifferentialEquation,Unit 13,
Relate the parameters in general x(t) and the intial conditions,HMfitInitialCconditions,,
Decide when the conservation of energy should be applied to solve a problem,EapplyMEconstant,Unit 13,
"Calculate the KE, PE, E for a SHM at different moments in time","Espring PE, Eke",Unit 13,
Calculate the period of the pendulum,HMpendulum,Unit 13,
"Apply SHM to compound pendula, torsional pendula, etc.",HMgeneralSituations,Unit 13,
Identify the correct equation of motion for a damped oscillator,HMdamped,Unit 13,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
